RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-1244554	-1817325	-32.886054	17.869451	32:53:10S	17:52:10E	33HYD6844357693	SI34-01	H	BAY		SF	11				N				KLEINNOORDWESBAAI	Klein-Noordwesbaai	Klein-Noordwesbaai	KLEINNOORDWESBAAI	Klein-Noordwesbaai	Klein-Noordwesbaai		2011-05-19	1,2,3,4,5	1			1993-09-01		
3	-1264388	-1876177	-31.520687	29.687288	31:31:14S	29:41:14E	35JQF5518309560	SH35-16	H	STM		SF	05				V				UMZIMHLAVA	Umzimhlava	Umzimhlava	UMZIMHLAVA	Umzimhlava	Umzimhlava		2011-05-19	1,2,3,4,5				1993-09-01		
3	-1264388	-1840805	-31.520687	29.687288	31:31:14S	29:41:14E	35JQF5518309560	SH35-16	H	STM		SF	05				N				MZINTLAVA	Mzintlava	Mzintlava	MZINTLAVA	Mzintlava	Mzintlava		2011-05-19	1,2,3,4,5	1			1993-09-01		
3	-1264388	-1876185	-31.520687	29.687288	31:31:14S	29:41:14E	35JQF5518309560	SH35-16	H	STM		SF	05				V				UMZIMKLAVARIVER	Umzimklava River	Umzimklava River	UMZIMKLAVARIVER	Umzimklava River	Umzimklava River		2011-05-19	1,2,3,4,5				1993-09-01		
3	-1264388	-1876181	-31.520687	29.687288	31:31:14S	29:41:14E	35JQF5518309560	SH35-16	H	STM		SF	05				V				UMZIMHLAVARIVER	Umzimhlava River	Umzimhlava River	UMZIMHLAVARIVER	Umzimhlava River	Umzimhlava River		2011-05-19	1,2,3,4,5				1993-09-01		
3	-1264369	-1840783	-31.628284	29.549348	31:37:42S	29:32:58E	35JQE4180297943	SH35-16	H	STM		SF	05				N				MZIMVUBU	Mzimvubu	Mzimvubu	MZIMVUBU	Mzimvubu	Mzimvubu		2011-05-19	1,2,3,4,5	1			1993-09-01		
3	-1264369	-1876559	-31.628284	29.549348	31:37:42S	29:32:58E	35JQE4180297943	SH35-16	H	STM		SF	05				V				UZIMVUBU	Uzimvubu	Uzimvubu	UZIMVUBU	Uzimvubu	Uzimvubu		2011-05-19	1,2,3,4,5				1993-09-01		
3	-1264369	-1876203	-31.628284	29.549348	31:37:42S	29:32:58E	35JQE4180297943	SH35-16	H	STM		SF	05				V				UMZIMVUBURIVER	Umzimvubu River	Umzimvubu River	UMZIMVUBURIVER	Umzimvubu River	Umzimvubu River		2011-05-19	1,2,3,4,5				1993-09-01		
3	-1264369	-1876201	-31.628284	29.549348	31:37:42S	29:32:58E	35JQE4180297943	SH35-16	H	STM		SF	05				V				UMZIMVUBU	Umzimvubu	Umzimvubu	UMZIMVUBU	Umzimvubu	Umzimvubu		2011-05-19	1,2,3,4,5				1993-09-01		
3	-1264369	-1808268	-31.628284	29.549348	31:37:42S	29:32:58E	35JQE4180297943	SH35-16	H	STM		SF	05				V				HIPPOPOTAMUSRIVER	Hippopotamus River	Hippopotamus River	HIPPOPOTAMUSRIVER	Hippopotamus River	Hippopotamus River		2011-05-19	1,2,3,4,5				1993-09-01		
3	-1264366	-1840780	-31.478473	29.71244	31:28:43S	29:42:45E	35JQF5768814183	SH35-16	H	STM		SF	05				V				MZIMPUNZIRIVER	Mzimpunzi River	Mzimpunzi River	MZIMPUNZIRIVER	Mzimpunzi River	Mzimpunzi River		2011-05-19	1,2,3,4,5				1993-09-01		
3	-1264366	-1840779	-31.478473	29.71244	31:28:43S	29:42:45E	35JQF5768814183	SH35-16	H	STM		SF	05				N				MZIMPUNZI	Mzimpunzi	Mzimpunzi	MZIMPUNZI	Mzimpunzi	Mzimpunzi		2011-05-19	1,2,3,4,5	1			1993-09-01		
3	-1264366	-1876199	-31.478473	29.71244	31:28:43S	29:42:45E	35JQF5768814183	SH35-16	H	STM		SF	05				V				UMZIMPUNZIRIVER	Umzimpunzi River	Umzimpunzi River	UMZIMPUNZIRIVER	Umzimpunzi River	Umzimpunzi River		2011-05-19	1,2,3,4,5				1993-09-01		
3	-1264346	-1840758	-31.069102	29.650965	31:04:09S	29:39:03E	35JQF5293759719	SH35-16	H	STM		SF	05				N				MZENGE	Mzenge	Mzenge	MZENGE	Mzenge	Mzenge		2011-05-19	1,2,3,4,5	1			1993-09-01		
3	-1264336	-1876163	-31.106592	30.175694	31:06:24S	30:10:32E	36JTL3062455153	SH35-16	H	STM		SF	05				V				UMZAMBARIVER	Umzamba River	Umzamba River	UMZAMBARIVER	Umzamba River	Umzamba River		2011-05-19	1,2,3,4,5				1993-09-01		
3	-1264336	-1840746	-31.106592	30.175694	31:06:24S	30:10:32E	36JTL3062455153	SH35-16	H	STM		SF	05				N				MZAMBA	Mzamba	Mzamba	MZAMBA	Mzamba	Mzamba		2011-05-19	1,2,3,4,5	1			1993-09-01		
