RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-1260258	-1836165	-29.383315	17.71051	29:23:00S	17:42:38E	33JYH6307546491	SH33-08	L	LCTY		SF	08				V				MIDDLEPLAAT	Middleplaat	Middleplaat	MIDDLEPLAAT	Middleplaat	Middleplaat		2011-03-14	1,2,3,4,5				1993-09-01		
3	-1259601	-1835156	-29.366007	17.635907	29:21:58S	17:38:09E	33JYH5587548575	SH33-08	L	LCTY		SF	08				N				MEYERSKLOOF	Meyerskloof	Meyerskloof	MEYERSKLOOF	Meyerskloof	Meyerskloof		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1257195	-1832244	-29.621745	17.377494	29:37:18S	17:22:39E	33JYH3020220766	SH33-08	L	LCTY		SF	08				N				MARA	Mara	Mara	MARA	Mara	Mara		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1262528	-1838588	-29.075993	29.8084	29:04:34S	29:48:30E	35JQH7339680337	SH35-08	L	RESW		SF	02				N				MOORPARKGAMERESERVE	Moor Park Game Reserve	Moor Park Game Reserve	MOORPARKGAMERESERVE	Moor Park Game Reserve	Moor Park Game Reserve		2011-03-10	1,2,3,4,5	1			1993-09-01		
3	-1279306	-1858324	-28.354527	30.542477	28:21:16S	30:32:33E	36JTP5912561070	SH36-01	L	BTL		SF	02				N				BATTLEFIELDATRORKESDRIFT	Battlefield at Rorke’s Drift	Battlefield at Rorke's Drift	RORKESDRIFT BATTLEFIELDAT	Rorke’s Drift, Battlefield at	Rorke's Drift, Battlefield at		2011-03-09	1,2,3,4,5	1			1993-09-01		
3	-1279306	-1858325	-28.354527	30.542477	28:21:16S	30:32:33E	36JTP5912561070	SH36-01	L	BTL		SF	02				V				BATTLEOFRORKESDRIFT	Battle of Rorke’s Drift	Battle of Rorke's Drift	RORKESDRIFT BATTLEOF	Rorke’s Drift, Battle of	Rorke's Drift, Battle of		2011-03-09	1,2,3,4,5				1993-09-01		
3	-1227427	-1796939	-30.547335	27.325919	30:32:50S	27:19:33E	35JNG3126020518	SH35-11	L	LCTY		SF	05				N				ESELINDINI	Eselindini	Eselindini	ESELINDINI	Eselindini	Eselindini		2011-03-20	1,2,3,4,5	1			1993-09-01		
3	-1293852	-1875308	-30.923422	18.551832	30:55:24S	18:33:07E	34JBL6606376315	SH34-09	L	LCTY		SF	11				N				UITSPAN	Uitspan	Uitspan	UITSPAN	Uitspan	Uitspan		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1216415	-1784145	-29.462092	17.769607	29:27:44S	17:46:11E	33JYH6860537622	SH33-08	L	LCTY		SF	08				V				BULLETRAPNATIVESCHOOL	Bulletrap Native School	Bulletrap Native School	BULLETRAPNATIVESCHOOL	Bulletrap Native School	Bulletrap Native School		2011-03-14	1,2,3,4,5				1993-09-01		
3	-1216415	-1784144	-29.462092	17.769607	29:27:44S	17:46:11E	33JYH6860537622	SH33-08	L	LCTY		SF	08				N				BULLETRAP	Bulletrap	Bulletrap	BULLETRAP	Bulletrap	Bulletrap		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1216254	-1783945	-29.704241	17.601034	29:42:15S	17:36:04E	33JYH5164911155	SH33-08	L	LCTY		SF	08				N				BUFFELSRIVIER	Buffelsrivier	Buffelsrivier	BUFFELSRIVIER	Buffelsrivier	Buffelsrivier		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1215416	-1782973	-29.421141	17.860577	29:25:16S	17:51:38E	33JYH7754341949	SH33-08	L	LCTY		SF	08				N				BREIPAAL	Breipaal	Breipaal	BREIPAAL	Breipaal	Breipaal		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1215387	-1782937	-29.284785	17.574973	29:17:05S	17:34:30E	33JYH5015657711	SH33-08	L	LCTY		SF	08				N				BREEKRIET	Breekriet	Breekriet	BREEKRIET	Breekriet	Breekriet		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1215076	-1782590	-29.392076	17.807614	29:23:31S	17:48:27E	33JYH7248045296	SH33-08	L	LCTY		SF	08				N				BRANDEWYNSBANK	Brandewynsbank	Brandewynsbank	BRANDEWYNSBANK	Brandewynsbank	Brandewynsbank		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1215013	-1782508	-29.740687	17.443848	29:44:26S	17:26:38E	33JYH3635107447	SH33-08	L	LCTY		SF	08				N				BRAKWATER	Brakwater	Brakwater	BRAKWATER	Brakwater	Brakwater		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1214887	-1782375	-29.319776	17.853535	29:19:11S	17:51:13E	33JYH7713453204	SH33-08	L	LCTY		SF	08				N				BRAKRIVIER	Brakrivier	Brakrivier	BRAKRIVIER	Brakrivier	Brakrivier		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1291156	-1872196	-29.70239	17.708457	29:42:09S	17:42:30E	33JYH6205011121	SH33-08	L	LCTY		SF	08				N				TIERHAAK	Tierhaak	Tierhaak	TIERHAAK	Tierhaak	Tierhaak		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1291156	-1816116	-29.70239	17.708457	29:42:09S	17:42:30E	33JYH6205011121	SH33-08	L	LCTY		SF	08				V				KIERAK	Kierak	Kierak	KIERAK	Kierak	Kierak		2011-03-14	1,2,3,4,5				1993-09-01		
3	-1288968	-1869681	-29.456271	17.911045	29:27:23S	17:54:40E	33JYH8234537933	SH33-08	L	LCTY		SF	08				N				SWARTPUT	Swartput	Swartput	SWARTPUT	Swartput	Swartput		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1288238	-1868833	-29.667602	17.503276	29:40:03S	17:30:12E	33JYH4227515425	SH33-08	L	LCTY		SF	08				N				SULTAN	Sultan	Sultan	SULTAN	Sultan	Sultan		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1288068	-1868628	-29.714248	17.965925	29:42:51S	17:57:57E	33JYH8693809194	SH33-08	L	LCTY		SF	08				N				STUURKLIP	Stuurklip	Stuurklip	STUURKLIP	Stuurklip	Stuurklip		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1287362	-1868424	-29.493873	17.83172	29:29:38S	17:49:54E	33JYH7454633954	SH33-08	L	LCTY		SF	08				V				STREYERKRAAL	Streyerkraal	Streyerkraal	STREYERKRAAL	Streyerkraal	Streyerkraal		2011-03-14	1,2,3,4,5				1993-09-01		
3	-1287362	-1867793	-29.493873	17.83172	29:29:38S	17:49:54E	33JYH7454633954	SH33-08	L	LCTY		SF	08				V				STEYERSKRAAL	Steyerskraal	Steyerskraal	STEYERSKRAAL	Steyerskraal	Steyerskraal		2011-03-14	1,2,3,4,5				1993-09-01		
3	-1287362	-1867789	-29.493873	17.83172	29:29:38S	17:49:54E	33JYH7454633954	SH33-08	L	LCTY		SF	08				N				STEYERKRAAL	Steyerkraal	Steyerkraal	STEYERKRAAL	Steyerkraal	Steyerkraal		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1286882	-1867252	-29.351374	17.284642	29:21:05S	17:17:05E	33JYH2179850916	SH33-08	L	LCTY		SF	08				N				STEENBOK	Steenbok	Steenbok	STEENBOK	Steenbok	Steenbok		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1235895	-1806637	-28.557407	20.323223	28:33:27S	20:19:24E	34JDP3380240861	SH34-02	L	LCTY		SF	08				N				HARTBEESVLAK	Hartbeesvlak	Hartbeesvlak	HARTBEESVLAK	Hartbeesvlak	Hartbeesvlak		2011-03-09	1,2,3,4,5	1			1993-09-01		
3	-1250411	-1824122	-30.266351	18.295471	30:15:59S	18:17:44E	34JBM3980648604	SH34-09	L	LCTY		SF	08				N				KWASKRAAL	Kwaskraal	Kwaskraal	KWASKRAAL	Kwaskraal	Kwaskraal		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1247871	-1821243	-30.298086	18.342661	30:17:53S	18:20:34E	34JBM4443045192	SH34-09	L	LCTY		SF	08				N				KOUWATER	Kouwater	Kouwater	KOUWATER	Kouwater	Kouwater		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1252049	-1825989	-29.434889	17.947773	29:26:06S	17:56:52E	33JYH8596940214	SH33-08	L	LCTY		SF	08				N				LEEUPOORT	Leeupoort	Leeupoort	LEEUPOORT	Leeupoort	Leeupoort		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1250351	-1824058	-29.699644	17.644863	29:41:59S	17:38:42E	33JYH5590211568	SH33-08	L	LCTY		SF	08				N				KWARKWAP	Kwarkwap	Kwarkwap	KWARKWAP	Kwarkwap	Kwarkwap		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1247814	-1821175	-29.415009	17.64682	29:24:54S	17:38:49E	33JYH5681143119	SH33-08	L	LCTY		SF	08				N				KOUFONTEIN	Koufontein	Koufontein	KOUFONTEIN	Koufontein	Koufontein		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1247781	-1821130	-29.495311	17.907563	29:29:43S	17:54:27E	33JYH8189933613	SH33-08	L	LCTY		SF	08				N				KOUBEES	Koubees	Koubees	KOUBEES	Koubees	Koubees		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1247661	-1820976	-29.342171	17.785465	29:20:32S	17:47:08E	33JYH7046250881	SH33-08	L	LCTY		SF	08				N				KORROGAS	Korrogas	Korrogas	KORROGAS	Korrogas	Korrogas		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1247651	-1820977	-29.438914	17.710612	29:26:20S	17:42:38E	33JYH6294140326	SH33-08	L	LCTY		SF	08				V				KORROS	Korros	Korros	KORROS	Korros	Korros		2011-03-14	1,2,3,4,5				1993-09-01		
3	-1247651	-1820966	-29.438914	17.710612	29:26:20S	17:42:38E	33JYH6294140326	SH33-08	L	LCTY		SF	08				N				KOROS	Koros	Koros	KOROS	Koros	Koros		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1246644	-1819750	-29.401269	17.924973	29:24:05S	17:55:30E	33JYH8384943997	SH33-08	L	LCTY		SF	08				N				KOEGAS	Koegas	Koegas	KOEGAS	Koegas	Koegas		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1246504	-1819579	-29.622679	17.875165	29:37:22S	17:52:31E	33JYH7840619569	SH33-08	L	LCTY		SF	08				N				KOEBOEGAS	Koeboegas	Koeboegas	KOEBOEGAS	Koeboegas	Koeboegas		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1269582	-1847111	-29.426601	17.96856	29:25:36S	17:58:07E	33JYH8800941081	SH33-08	L	LCTY		SF	08				N				OOSFONTEIN	Oosfontein	Oosfontein	OOSFONTEIN	Oosfontein	Oosfontein		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1268111	-1845373	-29.575848	17.382814	29:34:33S	17:22:58E	33JYH3082225843	SH33-08	L	LCTY		SF	08				N				NUTTABOOI	Nuttabooi	Nuttabooi	NUTTABOOI	Nuttabooi	Nuttabooi		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1272751	-1850819	-30.270844	18.341843	30:16:15S	18:20:31E	34JBM4428148211	SH34-09	L	LCTY		SF	08				N				PLATBERG	Platberg	Platberg	PLATBERG	Platberg	Platberg		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1247314	-1820582	-30.529146	18.38973	30:31:45S	18:23:23E	34JBM4955019679	SH34-09	L	LCTY		SF	11				N				KOOTJIESFONTEIN	Kootjiesfontein	Kootjiesfontein	KOOTJIESFONTEIN	Kootjiesfontein	Kootjiesfontein		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1293135	-1874494	-30.960277	18.284563	30:57:37S	18:17:04E	34JBL4061471637	SH34-09	L	LCTY		SF	11				N				TWEEVLEI	Tweevlei	Tweevlei	TWEEVLEI	Tweevlei	Tweevlei		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1208083	-1846992	-29.262193	17.091219	29:15:44S	17:05:28E	33JYH0319261152	SH33-08	L	LCTY		SF	08				V				OOGRABIES	Oograbies	Oograbies	OOGRABIES	Oograbies	Oograbies		2011-03-14	1,2,3,4,5				1993-09-01		
3	-1208083	-1774458	-29.262193	17.091219	29:15:44S	17:05:28E	33JYH0319261152	SH33-08	L	LCTY		SF	08				N				AUGRABIES	Augrabies	Augrabies	AUGRABIES	Augrabies	Augrabies		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1207774	-1774095	-29.297963	17.433066	29:17:53S	17:25:59E	33JYH3633556545	SH33-08	L	LCTY		SF	08				N				ARIEROEP	Arieroep	Arieroep	ARIEROEP	Arieroep	Arieroep		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1206039	-1772129	-29.2619	17.199498	29:15:43S	17:11:58E	33JYH1371660992	SH33-08	L	LCTY		SF	08				N				ABBEVLAK	Abbevlak	Abbevlak	ABBEVLAK	Abbevlak	Abbevlak		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1227820	-1797416	-29.132556	19.287303	29:07:57S	19:17:14E	34JCN3338476116	SH34-05	L	LCTY		SF	08				N				EYTEES	Eytees	Eytees	EYTEES	Eytees	Eytees		2011-03-09	1,2,3,4,5	1			1993-09-01		
3	-1225589	-1794755	-29.039676	19.038317	29:02:23S	19:02:18E	34JCN0898586031	SH34-05	L	LCTY		SF	08				N				EENRIET	Eenriet	Eenriet	EENRIET	Eenriet	Eenriet		2011-03-09	1,2,3,4,5	1			1993-09-01		
3	-1246057	-1819053	-30.472016	18.385633	30:28:19S	18:23:08E	34JBM4901026004	SH34-09	L	LCTY		SF	08				N				KLIPSEWATER	Klip se Water	Klip se Water	KLIPSEWATER	Klip se Water	Klip se Water		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1244172	-1816872	-30.300159	18.263543	30:18:01S	18:15:49E	34JBM3682344782	SH34-09	L	LCTY		SF	08				N				KLEINEENWILGER	Klein-Eenwilger	Klein-Eenwilger	KLEINEENWILGER	Klein-Eenwilger	Klein-Eenwilger		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1214723	-1782184	-29.072159	19.25754	29:04:20S	19:15:27E	34JCN3038982766	SH34-05	L	LCTY		SF	08				N				BRAKKIE	Brakkie	Brakkie	BRAKKIE	Brakkie	Brakkie		2011-03-09	1,2,3,4,5	1			1993-09-01		
3	-1257127	-1832157	-28.052157	32.075215	28:03:08S	32:04:31E	36JVP0911496675	SH36-02	L	RESF		SF	02				D				MAPONGOFOREST	Mapongo Forest	Mapongo Forest	MAPONGOFOREST	Mapongo Forest	Mapongo Forest		2011-03-09	1,2,3,4,5	1			1993-09-01		
3	-1263524	-1839745	-27.259097	32.121187	27:15:33S	32:07:16E	36JVQ1300784561	SG36-14	L	LCTY		SF	02				N				MPONTSHANE	Mpontshane	Mpontshane	MPONTSHANE	Mpontshane	Mpontshane		2011-03-08	1,2,3,4,5	1			1993-09-01		
3	-1275217	-1853738	-29.393899	17.897349	29:23:38S	17:53:50E	33JYH8118844881	SH33-08	L	LCTY		SF	08				N				REMHOOG	Remhoog	Remhoog	REMHOOG	Remhoog	Remhoog		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1272975	-1851060	-29.507929	17.710032	29:30:29S	17:42:36E	33JYH6270732676	SH33-08	L	LCTY		SF	08				N				PLATPOORT	Platpoort	Platpoort	PLATPOORT	Platpoort	Platpoort		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1272932	-1851011	-29.336015	17.207852	29:20:10S	17:12:28E	33JYH1437352762	SH33-08	L	LCTY		SF	08				N				PLATKOP	Platkop	Platkop	PLATKOP	Platkop	Platkop		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1271765	-1849664	-29.432151	17.796135	29:25:56S	17:47:46E	33JYH7125940880	SH33-08	L	LCTY		SF	08				N				PERDEBANK	Perdebank	Perdebank	PERDEBANK	Perdebank	Perdebank		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1271750	-1849647	-29.377859	17.990717	29:22:40S	17:59:27E	33JYH9029946431	SH33-08	L	LCTY		SF	08				N				PEPERBOSBANK	Peperbosbank	Peperbosbank	PEPERBOSBANK	Peperbosbank	Peperbosbank		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1271750	-1849462	-29.377859	17.990717	29:22:40S	17:59:27E	33JYH9029946431	SH33-08	L	LCTY		SF	08				V				PEDERBOSBANK	Pederbosbank	Pederbosbank	PEDERBOSBANK	Pederbosbank	Pederbosbank		2011-03-14	1,2,3,4,5				1993-09-01		
3	-1298744	-1881162	-30.466316	18.521387	30:27:59S	18:31:17E	34JBM6203326930	SH34-09	L	LCTY		SF	11				N				WABREEK	Wabreek	Wabreek	WABREEK	Wabreek	Wabreek		2011-03-14	1,2,3,4,5	1			1993-09-01		
3	-1261005	-1836788	-27.635767	32.209171	27:38:09S	32:12:33E	36JVQ2198242895	SG36-14	L	RESW		SF	02				N				MKUZEGAMERESERVE	Mkuze Game Reserve	Mkuze Game Reserve	MKUZEGAMERESERVE	Mkuze Game Reserve	Mkuze Game Reserve		2011-03-08	1,2,3,4,5	1			1993-09-01		
3	-1261005	-1836792	-27.635767	32.209171	27:38:09S	32:12:33E	36JVQ2198242895	SG36-14	L	RESW		SF	02				V				MKUZIGAMERESERVE	Mkuzi Game Reserve	Mkuzi Game Reserve	MKUZIGAMERESERVE	Mkuzi Game Reserve	Mkuzi Game Reserve		2011-03-08	1,2,3,4,5				1993-09-01		
3	-1261005	-1875952	-27.635767	32.209171	27:38:09S	32:12:33E	36JVQ2198242895	SG36-14	L	RESW		SF	02				V				UMKUSIGAMERESERVE	Umkusi Game Reserve	Umkusi Game Reserve	UMKUSIGAMERESERVE	Umkusi Game Reserve	Umkusi Game Reserve		2011-03-08	1,2,3,4,5				1993-09-01		
