RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-1274420	-1852799	-28.633333	30.833333	28:38:00S	30:50:00E	36JTP8819930717	SH36-01	V	FRST		SF	02				N				QUDENIFOREST	Qudeni Forest	Qudeni Forest	QUDENIFOREST	Qudeni Forest	Qudeni Forest		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1265402	-1842049	-24.033333	30.083333	24:02:00S	30:05:00E	36JTU0333339006	SG36-01	V	FRST		SF	09				V				NEWAGATHA	New Agatha	New Agatha	NEWAGATHA	New Agatha	New Agatha		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1265402	-1842051	-24.033333	30.083333	24:02:00S	30:05:00E	36JTU0333339006	SG36-01	V	FRST		SF	09				N				NEWAGATHASTATEFOREST	New Agatha State Forest	New Agatha State Forest	NEWAGATHASTATEFOREST	New Agatha State Forest	New Agatha State Forest		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1265402	-1842050	-24.033333	30.083333	24:02:00S	30:05:00E	36JTU0333339006	SG36-01	V	FRST		SF	09				V				NEWAGATHAFORESTRESERVE	New Agatha Forest Reserve	New Agatha Forest Reserve	NEWAGATHAFORESTRESERVE	New Agatha Forest Reserve	New Agatha Forest Reserve		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1243941	-1816594	-23.033333	30.216667	23:02:00S	30:13:00E	36KTV1475150078	SF36-13	V	FRST		SF	09				N				KLEINAUSTRALIEBOSRESERVAAT	Klein-Australiëbosreservaat	Klein-Australiebosreservaat	KLEINAUSTRALIEBOSRESERVAAT	Klein-Australiëbosreservaat	Klein-Australiebosreservaat		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1261728	-1837653	-25.266667	30.5	25:16:00S	30:30:00E	36JTT4822203179	SG36-05	V	FRST		SF	07				V				MOKOBULAANFORESTRESERVE	Mokobulaan Forest Reserve	Mokobulaan Forest Reserve	MOKOBULAANFORESTRESERVE	Mokobulaan Forest Reserve	Mokobulaan Forest Reserve		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1261728	-1837655	-25.266667	30.5	25:16:00S	30:30:00E	36JTT4822203179	SG36-05	V	FRST		SF	07				N				MOKOBULAANSTAATSBOS	Mokobulaan Staatsbos	Mokobulaan Staatsbos	MOKOBULAANSTAATSBOS	Mokobulaan Staatsbos	Mokobulaan Staatsbos		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1274500	-1852900	-31.616667	27.9	31:37:00S	27:54:00E	35JNF8536301701	SH35-15	V	FRST		SF	05				N				QUTYINI	Qutyini	Qutyini	QUTYINI	Qutyini	Qutyini		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1262764	-1838857	-24.866667	30.7	24:52:00S	30:42:00E	36JTT6761747854	SG36-01	V	FRST		SF	07				D				MORGENZONBOSRESERWE	Morgenzon-Bosreserwe	Morgenzon-Bosreserwe	MORGENZONBOSRESERWE	Morgenzon-Bosreserwe	Morgenzon-Bosreserwe		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1262764	-1838848	-24.866667	30.7	24:52:00S	30:42:00E	36JTT6761747854	SG36-01	V	FRST		SF	07				V				MORGENZON	Morgenzon	Morgenzon	MORGENZON	Morgenzon	Morgenzon		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1262764	-1838858	-24.866667	30.7	24:52:00S	30:42:00E	36JTT6761747854	SG36-01	V	FRST		SF	07				V				MORGENZONFORESTRESERVE	Morgenzon Forest Reserve	Morgenzon Forest Reserve	MORGENZONFORESTRESERVE	Morgenzon Forest Reserve	Morgenzon Forest Reserve		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1258648	-1834029	-31.516667	27.883333	31:31:00S	27:53:00E	35JNF8387212798	SH35-15	V	FRST		SF	05				N				MBINENE	Mbinene	Mbinene	MBINENE	Mbinene	Mbinene		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1260595	-1836303	-30.05	29.7	30:03:00S	29:42:00E	35JQG6032672601	SH35-12	V	FRST		SF	02				N				MIKHANZENIFOREST	Mikhanzeni Forest	Mikhanzeni Forest	MIKHANZENIFOREST	Mikhanzeni Forest	Mikhanzeni Forest		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1255374	-1829982	-24.983333	30.833333	24:59:00S	30:50:00E	36JTT8129935151	SG36-01	V	FRST		SF	07				D				MACMACFORESTRESERVE	Mac Mac Forest Reserve	Mac Mac Forest Reserve	MACMACFORESTRESERVE	Mac Mac Forest Reserve	Mac Mac Forest Reserve		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1255374	-1829978	-24.983333	30.833333	24:59:00S	30:50:00E	36JTT8129935151	SG36-01	V	FRST		SF	07				V				MACMAC	Mac Mac	Mac Mac	MACMAC	Mac Mac	Mac Mac		2004-05-11	1,2,3,4,5				1993-09-01		
3	-1256041	-1830777	-25.483333	30.783333	25:29:00S	30:47:00E	36JTS7716579677	SG36-05	V	FRST		SF	07				N				MAJUBASTAATSBOS	Majuba Staatsbos	Majuba Staatsbos	MAJUBASTAATSBOS	Majuba Staatsbos	Majuba Staatsbos		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1240875	-1812887	-34.366667	21.3	34:22:00S	21:18:00E	34HEG2758597147	SI34-11	V	FRST		SF	11				N				KAFFERBOS	Kafferbos	Kafferbos	KAFFERBOS	Kafferbos	Kafferbos		2004-04-23	1,2,3,4,5	1			1993-09-01		
3	-1241887	-1814064	-34.333333	21.2	34:20:00S	21:12:00E	34HEH1839700866	SI34-11	V	FRST		SF	11				N				KAMERBOS	Kamerbos	Kamerbos	KAMERBOS	Kamerbos	Kamerbos		2004-04-23	1,2,3,4,5	1			1993-09-01		
3	-1228650	-1798377	-33.75	24.216667	33:45:00S	24:13:00E	35HKC4217662082	SI35-05	V	FRST		SF	05				N				FORMOSASTAATSBOS	Formosa Staatsbos	Formosa Staatsbos	FORMOSASTAATSBOS	Formosa Staatsbos	Formosa Staatsbos		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1228650	-1798378	-33.75	24.216667	33:45:00S	24:13:00E	35HKC4217662082	SI35-05	V	FRST		SF	05				V				FORMOSASTATEFOREST	Formosa State Forest	Formosa State Forest	FORMOSASTATEFOREST	Formosa State Forest	Formosa State Forest		2004-04-27	1,2,3,4,5				1993-09-01		
3	-1226202	-1795464	-25.566667	30.566667	25:34:00S	30:34:00E	36JTS5554570063	SG36-05	V	FRST		SF	07				N				ELANDSHOOGTEPLANTATION	Elandshoogte Plantation	Elandshoogte Plantation	ELANDSHOOGTEPLANTATION	Elandshoogte Plantation	Elandshoogte Plantation		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1216838	-1784657	-31.933333	28	31:56:00S	28:00:00E	35JNE9452666517	SH35-15	V	FRST		SF	05				N				BWANI	Bwani	Bwani	BWANI	Bwani	Bwani		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1215611	-1783191	-23.766667	30.016667	23:46:00S	30:01:00E	36KSU9592468414	SF36-13	V	FRST		SF	09				N				BROEDERSTROOMBOSRESERVAAT	Broederstroom Bosreservaat	Broederstroom Bosreservaat	BROEDERSTROOMBOSRESERVAAT	Broederstroom Bosreservaat	Broederstroom Bosreservaat		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1244335	-1817047	-33.866667	23.016667	33:52:00S	23:01:00E	34HFH8654050798	SI34-08	V	FRST		SF	11				N				KLEINGRYSBOS	Klein-Grysbos	Klein-Grysbos	KLEINGRYSBOS	Klein-Grysbos	Klein-Grysbos		2004-04-23	1,2,3,4,5	1			1993-09-01		
3	-1229881	-1799753	-34.033333	23.2	34:02:00S	23:12:00E	34HGH0310531965	SI34-08	V	FRST		SF	11				N				GARDENOFEDEN	Garden of Eden	Garden of Eden	GARDENOFEDEN	Garden of Eden	Garden of Eden		2004-04-23	1,2,3,4,5	1			1993-09-01		
3	-1232687	-1802915	-24.95	30.766667	24:57:00S	30:46:00E	36JTT7450738734	SG36-01	V	FRST		SF	07				D				GRASKOPFORESTRESERVE	Graskop Forest Reserve	Graskop Forest Reserve	GRASKOPFORESTRESERVE	Graskop Forest Reserve	Graskop Forest Reserve		2004-05-11	1,2,3,4,5	1			1993-09-01		
3	-1225304	-1794425	-28.183333	32.483333	28:11:00S	32:29:00E	36JVP4928682381	SH36-02	V	FRST		SF	02				N				EASTERNSHORESSTATEFOREST	Eastern Shores State Forest	Eastern Shores State Forest	EASTERNSHORESSTATEFOREST	Eastern Shores State Forest	Eastern Shores State Forest		2004-04-27	1,2,3,4,5	1			1993-09-01		
3	-1214453	-1781860	-34.05	23.15	34:03:00S	23:09:00E	34HFH9844930215	SI34-08	V	FRST		SF	11				D				BRACKENHILLFOREST	Bracken Hill Forest	Bracken Hill Forest	BRACKENHILLFOREST	Bracken Hill Forest	Bracken Hill Forest		2004-04-23	1,2,3,4,5	1			1993-09-01		
3	-1234836	-1805416	-30.283333	29.633333	30:17:00S	29:38:00E	35JQG5329846882	SH35-12	V	FRST		SF	05				N				GUNJINI	Gunjini	Gunjini	GUNJINI	Gunjini	Gunjini		2004-04-27	1,2,3,4,5	1			1993-09-01		
