RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	11846714	14432316	-26.984864	30.738596	26:59:06S	30:44:19E	36JTR7557013231	SG36-09	A	ADM3		SF	07				N				MKHONDO	Mkhondo	Mkhondo	MKHONDO	Mkhondo	Mkhondo		2013-09-24	1,2,3,4,5,6,7	1			2013-09-24		
3	11846714	14432314	-26.984864	30.738596	26:59:06S	30:44:19E	36JTR7557013231	SG36-09	A	ADM3		SF	07				N				MKHONDOLOCALMUNICIPALITY	Mkhondo Local Municipality	Mkhondo Local Municipality	MKHONDOLOCALMUNICIPALITY	Mkhondo Local Municipality	Mkhondo Local Municipality		2013-09-24	1,2,3,4,5,6,7	2			2022-01-26		
3	11846716	14432319	-26.473747	30.151997	26:28:25S	30:09:07E	36JTR1606068702	SG36-09	A	ADM3		SF	07				N				MSUKALIGWA	Msukaligwa	Msukaligwa	MSUKALIGWA	Msukaligwa	Msukaligwa		2013-09-24	1,2,3,4,5,6,7	1			2013-09-24		
3	11846716	14432318	-26.473747	30.151997	26:28:25S	30:09:07E	36JTR1606068702	SG36-09	A	ADM3		SF	07				N				MSUKALIGWALOCALMUNICIPALITY	Msukaligwa Local Municipality	Msukaligwa Local Municipality	MSUKALIGWALOCALMUNICIPALITY	Msukaligwa Local Municipality	Msukaligwa Local Municipality		2013-09-24	1,2,3,4,5,6,7	2			2022-01-26		
3	11846717	14432321	-26.001448	30.490585	26:00:05S	30:29:26E	36JTS4881721743	SG36-09	A	ADM3		SF	07				N				ALBERTLUTHULI	Albert Luthuli	Albert Luthuli	ALBERTLUTHULI	Albert Luthuli	Albert Luthuli		2013-09-24	1,2,3,4,5,6,7	1			2013-09-24		
3	11846717	14432320	-26.001448	30.490585	26:00:05S	30:29:26E	36JTS4881721743	SG36-09	A	ADM3		SF	07				N				ALBERTLUTHULILOCALMUNICIPALITY	Albert Luthuli Local Municipality	Albert Luthuli Local Municipality	ALBERTLUTHULILOCALMUNICIPALITY	Albert Luthuli Local Municipality	Albert Luthuli Local Municipality		2013-09-24	1,2,3,4,5,6,7	2			2022-01-26		
3	11846718	14432323	-25.087044	28.849403	25:05:13S	28:50:58E	35JPN8651224137	SG35-08	A	ADM3		SF	07				N				DOCTORJSMOROKA	Doctor JS Moroka	Doctor JS Moroka	DOCTORJSMOROKA	Doctor JS Moroka	Doctor JS Moroka		2013-09-23	1,2,3,4,5,6,7	1			2013-09-23		
3	11846718	14432324	-25.087044	28.849403	25:05:13S	28:50:58E	35JPN8651224137	SG35-08	A	ADM3		SF	07				V				DRJSMOROKALOCALMUNICIPALITY	Dr JS Moroka Local Municipality	Dr JS Moroka Local Municipality	DRJSMOROKALOCALMUNICIPALITY	Dr JS Moroka Local Municipality	Dr JS Moroka Local Municipality		2013-09-23	1,2,3,4,5,6,7				2013-09-25		
3	11846718	14432325	-25.087044	28.849403	25:05:13S	28:50:58E	35JPN8651224137	SG35-08	A	ADM3		SF	07				V				DRJSMOROKA	Dr JS Moroka	Dr JS Moroka	DRJSMOROKA	Dr JS Moroka	Dr JS Moroka		2013-09-23	1,2,3,4,5,6,7				2013-09-23		
3	11846718	14432322	-25.087044	28.849403	25:05:13S	28:50:58E	35JPN8651224137	SG35-08	A	ADM3		SF	07				N				DOCTORJSMOROKALOCALMUNICIPALITY	Doctor JS Moroka Local Municipality	Doctor JS Moroka Local Municipality	DOCTORJSMOROKALOCALMUNICIPALITY	Doctor JS Moroka Local Municipality	Doctor JS Moroka Local Municipality		2013-09-23	1,2,3,4,5,6,7	2			2022-01-26		
3	11846719	14432327	-25.41485	28.976643	25:24:53S	28:58:36E	35JPM9881387643	SG35-08	A	ADM3		SF	07				N				THEMBISILE	Thembisile	Thembisile	THEMBISILE	Thembisile	Thembisile		2013-09-24	1,2,3,4,5,6,7	1			2013-09-24		
3	11846719	14432326	-25.41485	28.976643	25:24:53S	28:58:36E	35JPM9881387643	SG35-08	A	ADM3		SF	07				N				THEMBISILELOCALMUNICIPALITY	Thembisile Local Municipality	Thembisile Local Municipality	THEMBISILELOCALMUNICIPALITY	Thembisile Local Municipality	Thembisile Local Municipality		2013-09-24	1,2,3,4,5,6,7	2			2022-01-26		
3	11846720	14435647	-26.126532	28.769608	26:07:36S	28:46:11E	35JPM7692509100	SG35-12	A	ADM3		SF	07				V				DELMASLOCALMUNICIPALITY	Delmas Local Municipality	Delmas Local Municipality	DELMASLOCALMUNICIPALITY	Delmas Local Municipality	Delmas Local Municipality		2013-09-24	1,2,3,4,5,6,7				2013-09-25		
3	11846720	14432329	-26.126532	28.769608	26:07:36S	28:46:11E	35JPM7692509100	SG35-12	A	ADM3		SF	07				N				VICTORKHANYE	Victor Khanye	Victor Khanye	VICTORKHANYE	Victor Khanye	Victor Khanye		2013-09-24	1,2,3,4,5,6,7	1			2013-09-24		
3	11846720	14432328	-26.126532	28.769608	26:07:36S	28:46:11E	35JPM7692509100	SG35-12	A	ADM3		SF	07				N				VICTORKHANYELOCALMUNICIPALITY	Victor Khanye Local Municipality	Victor Khanye Local Municipality	VICTORKHANYELOCALMUNICIPALITY	Victor Khanye Local Municipality	Victor Khanye Local Municipality		2013-09-24	1,2,3,4,5,6,7	2			2022-01-26		
3	11846721	14432331	-25.994979	29.164268	25:59:42S	29:09:51E	35JQM1663623078	SG35-08	A	ADM3		SF	07				N				EMALAHLENI	Emalahleni	Emalahleni	EMALAHLENI	Emalahleni	Emalahleni		2013-09-24	1,2,3,4,5,6,7	1			2013-09-24		
3	11846721	14432330	-25.994979	29.164268	25:59:42S	29:09:51E	35JQM1663623078	SG35-08	A	ADM3		SF	07				N				EMALAHLENILOCALMUNICIPALITY	Emalahleni Local Municipality	Emalahleni Local Municipality	EMALAHLENILOCALMUNICIPALITY	Emalahleni Local Municipality	Emalahleni Local Municipality		2013-09-24	1,2,3,4,5,6,7	2			2022-01-26		
3	11846722	14432353	-25.833233	29.567555	25:50:00S	29:34:03E	35JQM5737040270	SG35-08	A	ADM3		SF	07				N				STEVETSHWETE	Steve Tshwete	Steve Tshwete	STEVETSHWETE	Steve Tshwete	Steve Tshwete		2013-09-24	1,2,3,4,5,6,7	1			2013-09-24		
3	11846722	14432352	-25.833233	29.567555	25:50:00S	29:34:03E	35JQM5737040270	SG35-08	A	ADM3		SF	07				N				STEVETSHWETELOCALMUNICIPALITY	Steve Tshwete Local Municipality	Steve Tshwete Local Municipality	STEVETSHWETELOCALMUNICIPALITY	Steve Tshwete Local Municipality	Steve Tshwete Local Municipality		2013-09-24	1,2,3,4,5,6,7	2			2022-01-26		
